plating_rowdata_index,plating_line_index,plating_line_element_index,plating_rowdata_date,plating_output_v,plating_output_a,plating_input_v,plating_input_a,plating_internal_temperature,plating_external_temperature,plating_external_humidity
109,1,1,"2021-07-14 11:54:02",3.6,4.5,0,0,0,0,0
110,1,1,"2021-07-14 11:54:03",3.6,4.5,0,0,0,0,0
111,1,1,"2021-07-14 11:54:03",3.6,4.5,0,0,0,0,0
112,1,1,"2021-07-14 11:54:04",3.5,4.5,0,0,0,0,0
113,1,1,"2021-07-14 11:54:04",3.5,4.5,0,0,0,0,0
114,1,1,"2021-07-14 11:54:04",3.5,4.5,0,0,0,0,0
115,1,1,"2021-07-14 11:54:05",3.5,4.5,0,0,0,0,0
116,1,1,"2021-07-14 11:54:05",3.6,4.5,0,0,0,0,0
117,1,1,"2021-07-14 11:54:05",3.6,4.5,0,0,0,0,0
118,1,1,"2021-07-14 11:54:06",3.6,4.5,0,0,0,0,0
119,1,1,"2021-07-14 11:54:06",3.6,4.5,0,0,0,0,0
120,1,1,"2021-07-14 11:54:07",3.6,4.5,0,0,0,0,0
121,1,1,"2021-07-14 11:54:07",3.6,4.5,0,0,0,0,0
122,1,1,"2021-07-14 11:54:08",3.6,4.5,0,0,0,0,0
123,1,1,"2021-07-14 11:54:08",3.6,4.5,0,0,0,0,0
124,1,1,"2021-07-14 11:54:08",3.6,4.5,0,0,0,0,0
125,1,1,"2021-07-14 11:54:09",3.6,4.5,0,0,0,0,0
126,1,1,"2021-07-14 11:54:09",3.6,4.5,0,0,0,0,0
127,1,1,"2021-07-14 11:54:10",3.6,4.5,0,0,0,0,0
128,1,1,"2021-07-14 11:54:10",3.6,4.5,0,0,0,0,0
129,1,1,"2021-07-14 11:54:10",3.6,4.5,0,0,0,0,0
130,1,1,"2021-07-14 11:54:11",3.6,4.5,0,0,0,0,0
131,1,1,"2021-07-14 11:54:11",3.6,4.5,0,0,0,0,0
132,1,1,"2021-07-14 11:54:12",3.6,4.5,0,0,0,0,0
133,1,1,"2021-07-14 11:54:12",3.6,4.5,0,0,0,0,0
134,1,1,"2021-07-14 11:54:12",3.6,4.5,0,0,0,0,0
135,1,1,"2021-07-14 11:54:13",3.6,4.5,0,0,0,0,0
136,1,1,"2021-07-14 11:54:13",3.6,4.5,0,0,0,0,0
137,1,1,"2021-07-14 11:54:14",3.6,4.5,0,0,0,0,0
138,1,1,"2021-07-14 11:54:14",3.6,4.5,0,0,0,0,0
139,1,1,"2021-07-14 11:54:14",3.6,4.5,0,0,0,0,0
140,1,1,"2021-07-14 11:54:15",3.6,4.5,0,0,0,0,0
